dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: bsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16_2_2
loss_pre: loss_1.0_0.4
training_pre: bsq_transplant
saver_name_pre: bsq_transplant_ImageNet_model_16_2_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 4.8829, rec_loss 0.5594, p_loss 0.7694, quant_error 1.2984, utilization 0.0244, perplexity 1063.8864,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.6299, rec_loss 0.3665, p_loss 0.7414, quant_error 1.0398, utilization 0.0131, perplexity 542.4958,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.1197, rec_loss 0.2937, p_loss 0.7210, quant_error 0.9153, utilization 0.0094, perplexity 369.4745,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.8280, rec_loss 0.2530, p_loss 0.7056, quant_error 0.8431, utilization 0.0079, perplexity 285.5007,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.6375, rec_loss 0.2253, p_loss 0.6920, quant_error 0.8053, utilization 0.0071, perplexity 236.1950,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.0126, rec_loss 0.1342, p_loss 0.6602, quant_error 0.6684, utilization 0.0034, perplexity 35.3047,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.8746, rec_loss 0.1190, p_loss 0.6378, quant_error 0.6295, utilization 0.0043, perplexity 44.7962,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.7976, rec_loss 0.1092, p_loss 0.6217, quant_error 0.6177, utilization 0.0050, perplexity 53.3729,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.7446, rec_loss 0.1022, p_loss 0.6084, quant_error 0.6130, utilization 0.0056, perplexity 61.9313,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.7074, rec_loss 0.0984, p_loss 0.6015, quant_error 0.6015, utilization 0.0063, perplexity 71.8839,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.6978, rec_loss 0.0967, p_loss 0.5988, quant_error 0.6036, utilization 0.0068, perplexity 80.5199,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.6854, rec_loss 0.0952, p_loss 0.5947, quant_error 0.6025, utilization 0.0074, perplexity 89.5899,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.6684, rec_loss 0.0929, p_loss 0.5906, quant_error 0.6010, utilization 0.0085, perplexity 104.4785,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.6269, rec_loss 0.0888, p_loss 0.5846, quant_error 0.5857, utilization 0.0095, perplexity 118.0388,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.6013, rec_loss 0.0860, p_loss 0.5765, quant_error 0.5819, utilization 0.0110, perplexity 137.4191,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.5673, rec_loss 0.0834, p_loss 0.5674, quant_error 0.5699, utilization 0.0127, perplexity 161.6993,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.5415, rec_loss 0.0812, p_loss 0.5591, quant_error 0.5626, utilization 0.0144, perplexity 186.5824,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.5163, rec_loss 0.0803, p_loss 0.5495, quant_error 0.5514, utilization 0.0170, perplexity 222.5631,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.5133, rec_loss 0.0806, p_loss 0.5422, quant_error 0.5535, utilization 0.0194, perplexity 263.0395,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.4973, rec_loss 0.0800, p_loss 0.5348, quant_error 0.5480, utilization 0.0220, perplexity 309.1515,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.4711, rec_loss 0.0785, p_loss 0.5254, quant_error 0.5376, utilization 0.0247, perplexity 357.4402,
