dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 4.1739, rec_loss 0.3290, p_loss 0.6715, quant_error 0.9391, utilization 0.0787, perplexity 2477.7364,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.1524, rec_loss 0.2095, p_loss 0.5799, quant_error 0.7059, utilization 0.0966, perplexity 3799.3652,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.6038, rec_loss 0.1548, p_loss 0.4953, quant_error 0.5830, utilization 0.1153, perplexity 5192.4327,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.2816, rec_loss 0.1259, p_loss 0.4388, quant_error 0.5094, utilization 0.1331, perplexity 6490.9879,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.0792, rec_loss 0.1080, p_loss 0.4004, quant_error 0.4629, utilization 0.1459, perplexity 7485.9442,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.4780, rec_loss 0.0485, p_loss 0.3108, quant_error 0.3257, utilization 0.1698, perplexity 9278.5396,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.2775, rec_loss 0.0363, p_loss 0.2565, quant_error 0.2800, utilization 0.1870, perplexity 10589.8815,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.2048, rec_loss 0.0335, p_loss 0.2338, quant_error 0.2613, utilization 0.1965, perplexity 11317.4459,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.1716, rec_loss 0.0319, p_loss 0.2222, quant_error 0.2527, utilization 0.1998, perplexity 11615.1771,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.1414, rec_loss 0.0306, p_loss 0.2143, quant_error 0.2450, utilization 0.2010, perplexity 11712.8864,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.1409, rec_loss 0.0302, p_loss 0.2114, quant_error 0.2447, utilization 0.2020, perplexity 11813.8086,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.1372, rec_loss 0.0302, p_loss 0.2084, quant_error 0.2428, utilization 0.2025, perplexity 11848.8759,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.1375, rec_loss 0.0298, p_loss 0.2075, quant_error 0.2424, utilization 0.2030, perplexity 11886.4168,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.1158, rec_loss 0.0286, p_loss 0.2047, quant_error 0.2365, utilization 0.2030, perplexity 11882.5681,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.1192, rec_loss 0.0287, p_loss 0.2041, quant_error 0.2362, utilization 0.2031, perplexity 11894.4794,
