dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_256_8_2_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.2223, rec_loss 0.0217, lpips_loss 0.1780, g_loss -0.1100, disc_weight 0.4000, disc_adaptive_weight 3.6285, d_loss 2.4292, logits_real 0.0510, logits_fake 0.1117,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -0.1859, rec_loss 0.0232, lpips_loss 0.1798, g_loss -0.1059, disc_weight 0.4000, disc_adaptive_weight 3.5493, d_loss 2.1944, logits_real 0.0508, logits_fake 0.1089,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -0.1642, rec_loss 0.0229, lpips_loss 0.1804, g_loss -0.0981, disc_weight 0.4000, disc_adaptive_weight 3.6457, d_loss 1.9989, logits_real 0.0498, logits_fake 0.1015,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -0.1230, rec_loss 0.0237, lpips_loss 0.1816, g_loss -0.0945, disc_weight 0.4000, disc_adaptive_weight 3.3467, d_loss 1.8539, logits_real 0.0501, logits_fake 0.0976,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -0.1025, rec_loss 0.0240, lpips_loss 0.1829, g_loss -0.0887, disc_weight 0.4000, disc_adaptive_weight 3.4004, d_loss 1.7313, logits_real 0.0507, logits_fake 0.0906,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.0884, rec_loss 0.0244, lpips_loss 0.1823, g_loss -0.0809, disc_weight 0.4000, disc_adaptive_weight 3.6426, d_loss 1.4703, logits_real 0.0502, logits_fake 0.0824,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.1188, rec_loss 0.0241, lpips_loss 0.1823, g_loss -0.0772, disc_weight 0.4000, disc_adaptive_weight 4.1586, d_loss 1.2847, logits_real 0.0494, logits_fake 0.0779,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.1355, rec_loss 0.0248, lpips_loss 0.1835, g_loss -0.0774, disc_weight 0.4000, disc_adaptive_weight 4.3883, d_loss 1.1575, logits_real 0.0493, logits_fake 0.0771,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.1893, rec_loss 0.0247, lpips_loss 0.1833, g_loss -0.0760, disc_weight 0.4000, disc_adaptive_weight 5.1437, d_loss 1.0570, logits_real 0.0483, logits_fake 0.0747,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.2123, rec_loss 0.0246, lpips_loss 0.1828, g_loss -0.0779, disc_weight 0.4000, disc_adaptive_weight 5.3384, d_loss 0.9803, logits_real 0.0466, logits_fake 0.0766,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.1943, rec_loss 0.0252, lpips_loss 0.1852, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 5.1256, d_loss 0.9213, logits_real 0.0455, logits_fake 0.0764,
