dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 2048
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_2048_16_1_loss_1.0_1.0_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_2048_16_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_2048_16_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.8576, rec_loss 0.0275, lpips_loss 0.2144, g_loss 0.1828, disc_weight 0.4000, disc_adaptive_weight 3.3561, d_loss 2.5651, logits_real -0.1658, logits_fake -0.1828,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.8235, rec_loss 0.0292, lpips_loss 0.2170, g_loss 0.1676, disc_weight 0.4000, disc_adaptive_weight 3.4450, d_loss 2.2865, logits_real -0.1587, logits_fake -0.1688,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.8171, rec_loss 0.0293, lpips_loss 0.2195, g_loss 0.1606, disc_weight 0.4000, disc_adaptive_weight 3.5411, d_loss 2.0703, logits_real -0.1577, logits_fake -0.1615,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.8044, rec_loss 0.0301, lpips_loss 0.2209, g_loss 0.1576, disc_weight 0.4000, disc_adaptive_weight 3.5022, d_loss 1.9121, logits_real -0.1555, logits_fake -0.1580,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.7845, rec_loss 0.0307, lpips_loss 0.2228, g_loss 0.1565, disc_weight 0.4000, disc_adaptive_weight 3.3796, d_loss 1.7858, logits_real -0.1539, logits_fake -0.1568,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.7468, rec_loss 0.0316, lpips_loss 0.2233, g_loss 0.1504, disc_weight 0.4000, disc_adaptive_weight 3.2603, d_loss 1.5017, logits_real -0.1503, logits_fake -0.1502,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.7646, rec_loss 0.0316, lpips_loss 0.2233, g_loss 0.1503, disc_weight 0.4000, disc_adaptive_weight 3.3806, d_loss 1.3087, logits_real -0.1485, logits_fake -0.1497,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.7660, rec_loss 0.0327, lpips_loss 0.2239, g_loss 0.1482, disc_weight 0.4000, disc_adaptive_weight 3.4363, d_loss 1.1773, logits_real -0.1456, logits_fake -0.1477,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.7710, rec_loss 0.0335, lpips_loss 0.2247, g_loss 0.1465, disc_weight 0.4000, disc_adaptive_weight 3.5073, d_loss 1.0769, logits_real -0.1438, logits_fake -0.1461,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.7965, rec_loss 0.0343, lpips_loss 0.2242, g_loss 0.1421, disc_weight 0.4000, disc_adaptive_weight 3.7936, d_loss 0.9971, logits_real -0.1415, logits_fake -0.1417,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.8287, rec_loss 0.0355, lpips_loss 0.2279, g_loss 0.1361, disc_weight 0.4000, disc_adaptive_weight 4.1480, d_loss 0.9369, logits_real -0.1391, logits_fake -0.1360,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.7890, rec_loss 0.0365, lpips_loss 0.2288, g_loss 0.1294, disc_weight 0.4000, disc_adaptive_weight 4.0249, d_loss 0.8871, logits_real -0.1377, logits_fake -0.1298,
Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.7798, rec_loss 0.0369, lpips_loss 0.2302, g_loss 0.1254, disc_weight 0.4000, disc_adaptive_weight 4.0691, d_loss 0.8421, logits_real -0.1360, logits_fake -0.1254,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.7617, rec_loss 0.0361, lpips_loss 0.2297, g_loss 0.1191, disc_weight 0.4000, disc_adaptive_weight 4.1316, d_loss 0.8012, logits_real -0.1343, logits_fake -0.1193,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.7595, rec_loss 0.0360, lpips_loss 0.2312, g_loss 0.1135, disc_weight 0.4000, disc_adaptive_weight 4.3407, d_loss 0.7659, logits_real -0.1322, logits_fake -0.1141,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.7456, rec_loss 0.0357, lpips_loss 0.2316, g_loss 0.1087, disc_weight 0.4000, disc_adaptive_weight 4.4203, d_loss 0.7334, logits_real -0.1295, logits_fake -0.1100,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.7416, rec_loss 0.0355, lpips_loss 0.2334, g_loss 0.1038, disc_weight 0.4000, disc_adaptive_weight 4.5472, d_loss 0.7065, logits_real -0.1268, logits_fake -0.1051,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.7273, rec_loss 0.0345, lpips_loss 0.2311, g_loss 0.0992, disc_weight 0.4000, disc_adaptive_weight 4.6559, d_loss 0.6859, logits_real -0.1237, logits_fake -0.1005,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.7086, rec_loss 0.0345, lpips_loss 0.2314, g_loss 0.0955, disc_weight 0.4000, disc_adaptive_weight 4.6140, d_loss 0.6682, logits_real -0.1201, logits_fake -0.0964,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.6686, rec_loss 0.0341, lpips_loss 0.2305, g_loss 0.0921, disc_weight 0.4000, disc_adaptive_weight 4.3815, d_loss 0.6536, logits_real -0.1160, logits_fake -0.0925,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.6430, rec_loss 0.0336, lpips_loss 0.2279, g_loss 0.0888, disc_weight 0.4000, disc_adaptive_weight 4.3099, d_loss 0.6416, logits_real -0.1127, logits_fake -0.0890,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.6333, rec_loss 0.0334, lpips_loss 0.2273, g_loss 0.0859, disc_weight 0.4000, disc_adaptive_weight 4.3426, d_loss 0.6329, logits_real -0.1081, logits_fake -0.0856,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.6212, rec_loss 0.0336, lpips_loss 0.2283, g_loss 0.0835, disc_weight 0.4000, disc_adaptive_weight 4.3071, d_loss 0.6244, logits_real -0.1034, logits_fake -0.0831,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.6193, rec_loss 0.0339, lpips_loss 0.2288, g_loss 0.0811, disc_weight 0.4000, disc_adaptive_weight 4.3997, d_loss 0.6167, logits_real -0.0989, logits_fake -0.0807,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.6245, rec_loss 0.0335, lpips_loss 0.2280, g_loss 0.0794, disc_weight 0.4000, disc_adaptive_weight 4.5787, d_loss 0.6087, logits_real -0.0954, logits_fake -0.0792,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.6157, rec_loss 0.0329, lpips_loss 0.2281, g_loss 0.0780, disc_weight 0.4000, disc_adaptive_weight 4.5496, d_loss 0.6035, logits_real -0.0911, logits_fake -0.0774,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.6062, rec_loss 0.0326, lpips_loss 0.2258, g_loss 0.0765, disc_weight 0.4000, disc_adaptive_weight 4.5469, d_loss 0.5992, logits_real -0.0876, logits_fake -0.0759,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.5915, rec_loss 0.0322, lpips_loss 0.2241, g_loss 0.0746, disc_weight 0.4000, disc_adaptive_weight 4.4930, d_loss 0.5949, logits_real -0.0849, logits_fake -0.0744,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.5844, rec_loss 0.0314, lpips_loss 0.2217, g_loss 0.0730, disc_weight 0.4000, disc_adaptive_weight 4.5304, d_loss 0.5897, logits_real -0.0823, logits_fake -0.0729,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.5594, rec_loss 0.0316, lpips_loss 0.2208, g_loss 0.0715, disc_weight 0.4000, disc_adaptive_weight 4.2827, d_loss 0.5869, logits_real -0.0797, logits_fake -0.0713,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.5433, rec_loss 0.0314, lpips_loss 0.2204, g_loss 0.0701, disc_weight 0.4000, disc_adaptive_weight 4.1472, d_loss 0.5817, logits_real -0.0780, logits_fake -0.0697,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.5302, rec_loss 0.0321, lpips_loss 0.2218, g_loss 0.0690, disc_weight 0.4000, disc_adaptive_weight 3.9964, d_loss 0.5768, logits_real -0.0763, logits_fake -0.0686,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.5139, rec_loss 0.0324, lpips_loss 0.2225, g_loss 0.0675, disc_weight 0.4000, disc_adaptive_weight 3.8274, d_loss 0.5717, logits_real -0.0747, logits_fake -0.0672,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.5080, rec_loss 0.0323, lpips_loss 0.2216, g_loss 0.0659, disc_weight 0.4000, disc_adaptive_weight 3.8644, d_loss 0.5677, logits_real -0.0729, logits_fake -0.0658,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.5315, rec_loss 0.0319, lpips_loss 0.2228, g_loss 0.0637, disc_weight 0.4000, disc_adaptive_weight 4.4020, d_loss 0.5621, logits_real -0.0713, logits_fake -0.0637,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.5243, rec_loss 0.0323, lpips_loss 0.2222, g_loss 0.0617, disc_weight 0.4000, disc_adaptive_weight 4.4123, d_loss 0.5582, logits_real -0.0690, logits_fake -0.0618,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.5212, rec_loss 0.0314, lpips_loss 0.2205, g_loss 0.0596, disc_weight 0.4000, disc_adaptive_weight 4.5407, d_loss 0.5538, logits_real -0.0668, logits_fake -0.0597,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.5223, rec_loss 0.0319, lpips_loss 0.2198, g_loss 0.0580, disc_weight 0.4000, disc_adaptive_weight 4.6578, d_loss 0.5494, logits_real -0.0648, logits_fake -0.0577,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.5135, rec_loss 0.0321, lpips_loss 0.2212, g_loss 0.0562, disc_weight 0.4000, disc_adaptive_weight 4.6191, d_loss 0.5455, logits_real -0.0628, logits_fake -0.0558,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.5089, rec_loss 0.0318, lpips_loss 0.2184, g_loss 0.0551, disc_weight 0.4000, disc_adaptive_weight 4.7384, d_loss 0.5426, logits_real -0.0610, logits_fake -0.0548,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.5177, rec_loss 0.0316, lpips_loss 0.2182, g_loss 0.0534, disc_weight 0.4000, disc_adaptive_weight 5.0654, d_loss 0.5389, logits_real -0.0594, logits_fake -0.0534,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.5175, rec_loss 0.0314, lpips_loss 0.2182, g_loss 0.0519, disc_weight 0.4000, disc_adaptive_weight 5.1805, d_loss 0.5352, logits_real -0.0579, logits_fake -0.0520,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.5038, rec_loss 0.0306, lpips_loss 0.2184, g_loss 0.0504, disc_weight 0.4000, disc_adaptive_weight 5.0482, d_loss 0.5316, logits_real -0.0564, logits_fake -0.0507,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.4912, rec_loss 0.0308, lpips_loss 0.2185, g_loss 0.0491, disc_weight 0.4000, disc_adaptive_weight 4.8980, d_loss 0.5286, logits_real -0.0550, logits_fake -0.0494,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.4516, rec_loss 0.0307, lpips_loss 0.2195, g_loss 0.0472, disc_weight 0.4000, disc_adaptive_weight 4.2531, d_loss 0.5255, logits_real -0.0532, logits_fake -0.0474,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.4324, rec_loss 0.0307, lpips_loss 0.2182, g_loss 0.0463, disc_weight 0.4000, disc_adaptive_weight 3.9564, d_loss 0.5224, logits_real -0.0517, logits_fake -0.0462,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.4252, rec_loss 0.0309, lpips_loss 0.2195, g_loss 0.0451, disc_weight 0.4000, disc_adaptive_weight 3.8908, d_loss 0.5199, logits_real -0.0502, logits_fake -0.0452,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.4344, rec_loss 0.0308, lpips_loss 0.2195, g_loss 0.0437, disc_weight 0.4000, disc_adaptive_weight 4.2264, d_loss 0.5173, logits_real -0.0484, logits_fake -0.0438,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.4552, rec_loss 0.0304, lpips_loss 0.2189, g_loss 0.0421, disc_weight 0.4000, disc_adaptive_weight 4.9444, d_loss 0.5135, logits_real -0.0468, logits_fake -0.0421,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.4536, rec_loss 0.0303, lpips_loss 0.2185, g_loss 0.0413, disc_weight 0.4000, disc_adaptive_weight 5.0058, d_loss 0.5103, logits_real -0.0454, logits_fake -0.0411,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.4460, rec_loss 0.0303, lpips_loss 0.2190, g_loss 0.0398, disc_weight 0.4000, disc_adaptive_weight 4.9474, d_loss 0.5078, logits_real -0.0442, logits_fake -0.0397,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.4333, rec_loss 0.0303, lpips_loss 0.2171, g_loss 0.0382, disc_weight 0.4000, disc_adaptive_weight 4.8402, d_loss 0.5043, logits_real -0.0426, logits_fake -0.0381,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.4285, rec_loss 0.0303, lpips_loss 0.2170, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 4.8721, d_loss 0.5012, logits_real -0.0414, logits_fake -0.0367,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.4041, rec_loss 0.0305, lpips_loss 0.2167, g_loss 0.0361, disc_weight 0.4000, disc_adaptive_weight 4.3835, d_loss 0.4992, logits_real -0.0401, logits_fake -0.0356,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.3936, rec_loss 0.0307, lpips_loss 0.2174, g_loss 0.0347, disc_weight 0.4000, disc_adaptive_weight 4.2005, d_loss 0.4973, logits_real -0.0391, logits_fake -0.0345,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.3909, rec_loss 0.0303, lpips_loss 0.2183, g_loss 0.0334, disc_weight 0.4000, disc_adaptive_weight 4.2515, d_loss 0.4942, logits_real -0.0376, logits_fake -0.0333,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.3871, rec_loss 0.0303, lpips_loss 0.2188, g_loss 0.0322, disc_weight 0.4000, disc_adaptive_weight 4.2700, d_loss 0.4914, logits_real -0.0362, logits_fake -0.0320,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.3732, rec_loss 0.0299, lpips_loss 0.2177, g_loss 0.0310, disc_weight 0.4000, disc_adaptive_weight 4.0488, d_loss 0.4898, logits_real -0.0350, logits_fake -0.0311,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.3658, rec_loss 0.0301, lpips_loss 0.2182, g_loss 0.0297, disc_weight 0.4000, disc_adaptive_weight 3.9690, d_loss 0.4876, logits_real -0.0338, logits_fake -0.0299,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.3649, rec_loss 0.0296, lpips_loss 0.2176, g_loss 0.0286, disc_weight 0.4000, disc_adaptive_weight 4.1202, d_loss 0.4849, logits_real -0.0323, logits_fake -0.0287,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.3596, rec_loss 0.0298, lpips_loss 0.2166, g_loss 0.0276, disc_weight 0.4000, disc_adaptive_weight 4.1004, d_loss 0.4832, logits_real -0.0313, logits_fake -0.0275,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.3574, rec_loss 0.0298, lpips_loss 0.2163, g_loss 0.0267, disc_weight 0.4000, disc_adaptive_weight 4.1607, d_loss 0.4817, logits_real -0.0301, logits_fake -0.0266,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.3533, rec_loss 0.0297, lpips_loss 0.2158, g_loss 0.0255, disc_weight 0.4000, disc_adaptive_weight 4.2139, d_loss 0.4792, logits_real -0.0288, logits_fake -0.0255,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.3533, rec_loss 0.0294, lpips_loss 0.2151, g_loss 0.0249, disc_weight 0.4000, disc_adaptive_weight 4.3651, d_loss 0.4771, logits_real -0.0279, logits_fake -0.0249,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.3543, rec_loss 0.0295, lpips_loss 0.2148, g_loss 0.0243, disc_weight 0.4000, disc_adaptive_weight 4.5325, d_loss 0.4751, logits_real -0.0272, logits_fake -0.0241,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.3529, rec_loss 0.0294, lpips_loss 0.2147, g_loss 0.0236, disc_weight 0.4000, disc_adaptive_weight 4.6004, d_loss 0.4733, logits_real -0.0262, logits_fake -0.0235,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.3481, rec_loss 0.0292, lpips_loss 0.2151, g_loss 0.0230, disc_weight 0.4000, disc_adaptive_weight 4.5002, d_loss 0.4721, logits_real -0.0255, logits_fake -0.0228,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.3474, rec_loss 0.0292, lpips_loss 0.2154, g_loss 0.0224, disc_weight 0.4000, disc_adaptive_weight 4.5610, d_loss 0.4704, logits_real -0.0248, logits_fake -0.0220,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.3378, rec_loss 0.0292, lpips_loss 0.2159, g_loss 0.0217, disc_weight 0.4000, disc_adaptive_weight 4.2633, d_loss 0.4689, logits_real -0.0241, logits_fake -0.0214,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.3311, rec_loss 0.0293, lpips_loss 0.2156, g_loss 0.0211, disc_weight 0.4000, disc_adaptive_weight 4.0736, d_loss 0.4674, logits_real -0.0233, logits_fake -0.0209,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3283, rec_loss 0.0293, lpips_loss 0.2155, g_loss 0.0206, disc_weight 0.4000, disc_adaptive_weight 4.0473, d_loss 0.4659, logits_real -0.0227, logits_fake -0.0205,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.3267, rec_loss 0.0292, lpips_loss 0.2147, g_loss 0.0198, disc_weight 0.4000, disc_adaptive_weight 4.1627, d_loss 0.4635, logits_real -0.0221, logits_fake -0.0200,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3253, rec_loss 0.0295, lpips_loss 0.2160, g_loss 0.0192, disc_weight 0.4000, disc_adaptive_weight 4.1677, d_loss 0.4621, logits_real -0.0213, logits_fake -0.0194,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3310, rec_loss 0.0298, lpips_loss 0.2163, g_loss 0.0184, disc_weight 0.4000, disc_adaptive_weight 4.6685, d_loss 0.4609, logits_real -0.0204, logits_fake -0.0185,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3318, rec_loss 0.0295, lpips_loss 0.2157, g_loss 0.0177, disc_weight 0.4000, disc_adaptive_weight 4.9237, d_loss 0.4593, logits_real -0.0197, logits_fake -0.0177,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3300, rec_loss 0.0292, lpips_loss 0.2163, g_loss 0.0171, disc_weight 0.4000, disc_adaptive_weight 4.9497, d_loss 0.4578, logits_real -0.0191, logits_fake -0.0170,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3250, rec_loss 0.0292, lpips_loss 0.2164, g_loss 0.0167, disc_weight 0.4000, disc_adaptive_weight 4.7427, d_loss 0.4565, logits_real -0.0186, logits_fake -0.0164,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3216, rec_loss 0.0289, lpips_loss 0.2157, g_loss 0.0164, disc_weight 0.4000, disc_adaptive_weight 4.7024, d_loss 0.4556, logits_real -0.0184, logits_fake -0.0161,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3101, rec_loss 0.0287, lpips_loss 0.2153, g_loss 0.0159, disc_weight 0.4000, disc_adaptive_weight 4.1247, d_loss 0.4545, logits_real -0.0179, logits_fake -0.0158,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3050, rec_loss 0.0290, lpips_loss 0.2161, g_loss 0.0152, disc_weight 0.4000, disc_adaptive_weight 3.9023, d_loss 0.4537, logits_real -0.0174, logits_fake -0.0153,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3022, rec_loss 0.0293, lpips_loss 0.2158, g_loss 0.0148, disc_weight 0.4000, disc_adaptive_weight 3.8226, d_loss 0.4525, logits_real -0.0168, logits_fake -0.0148,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3071, rec_loss 0.0294, lpips_loss 0.2156, g_loss 0.0142, disc_weight 0.4000, disc_adaptive_weight 4.3810, d_loss 0.4517, logits_real -0.0162, logits_fake -0.0143,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3043, rec_loss 0.0294, lpips_loss 0.2149, g_loss 0.0136, disc_weight 0.4000, disc_adaptive_weight 4.4290, d_loss 0.4503, logits_real -0.0156, logits_fake -0.0136,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3066, rec_loss 0.0295, lpips_loss 0.2148, g_loss 0.0133, disc_weight 0.4000, disc_adaptive_weight 4.6955, d_loss 0.4491, logits_real -0.0153, logits_fake -0.0133,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3031, rec_loss 0.0291, lpips_loss 0.2139, g_loss 0.0130, disc_weight 0.4000, disc_adaptive_weight 4.6447, d_loss 0.4474, logits_real -0.0150, logits_fake -0.0131,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3067, rec_loss 0.0293, lpips_loss 0.2142, g_loss 0.0127, disc_weight 0.4000, disc_adaptive_weight 4.9655, d_loss 0.4467, logits_real -0.0146, logits_fake -0.0128,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3008, rec_loss 0.0295, lpips_loss 0.2148, g_loss 0.0125, disc_weight 0.4000, disc_adaptive_weight 4.4896, d_loss 0.4456, logits_real -0.0143, logits_fake -0.0126,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.2980, rec_loss 0.0294, lpips_loss 0.2156, g_loss 0.0122, disc_weight 0.4000, disc_adaptive_weight 4.2981, d_loss 0.4444, logits_real -0.0139, logits_fake -0.0123,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.2934, rec_loss 0.0288, lpips_loss 0.2144, g_loss 0.0119, disc_weight 0.4000, disc_adaptive_weight 4.2336, d_loss 0.4435, logits_real -0.0135, logits_fake -0.0118,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.2954, rec_loss 0.0294, lpips_loss 0.2163, g_loss 0.0114, disc_weight 0.4000, disc_adaptive_weight 4.3670, d_loss 0.4428, logits_real -0.0128, logits_fake -0.0113,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.2886, rec_loss 0.0293, lpips_loss 0.2160, g_loss 0.0109, disc_weight 0.4000, disc_adaptive_weight 3.9992, d_loss 0.4414, logits_real -0.0123, logits_fake -0.0108,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.2881, rec_loss 0.0290, lpips_loss 0.2146, g_loss 0.0102, disc_weight 0.4000, disc_adaptive_weight 4.4367, d_loss 0.4404, logits_real -0.0117, logits_fake -0.0102,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.2883, rec_loss 0.0293, lpips_loss 0.2147, g_loss 0.0096, disc_weight 0.4000, disc_adaptive_weight 4.7246, d_loss 0.4396, logits_real -0.0111, logits_fake -0.0097,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.2860, rec_loss 0.0293, lpips_loss 0.2150, g_loss 0.0090, disc_weight 0.4000, disc_adaptive_weight 4.6896, d_loss 0.4382, logits_real -0.0104, logits_fake -0.0091,
