dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_transplant
saver_name_pre: fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 3.9602, rec_loss 0.3674, p_loss 0.7480, quant_error 0.9744, utilization 0.0131, perplexity 192.7569,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.1309, rec_loss 0.2644, p_loss 0.7179, quant_error 0.8466, utilization 0.0152, perplexity 239.6100,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.7764, rec_loss 0.2211, p_loss 0.7000, quant_error 0.7901, utilization 0.0150, perplexity 220.9680,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.5571, rec_loss 0.1949, p_loss 0.6834, quant_error 0.7519, utilization 0.0146, perplexity 197.8518,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.4100, rec_loss 0.1767, p_loss 0.6696, quant_error 0.7301, utilization 0.0143, perplexity 176.6068,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.9688, rec_loss 0.1235, p_loss 0.6413, quant_error 0.6556, utilization 0.0145, perplexity 157.4274,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.8452, rec_loss 0.1104, p_loss 0.6209, quant_error 0.6271, utilization 0.0138, perplexity 121.3220,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.7693, rec_loss 0.1024, p_loss 0.6057, quant_error 0.6091, utilization 0.0137, perplexity 103.0009,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.7269, rec_loss 0.0981, p_loss 0.5966, quant_error 0.5993, utilization 0.0140, perplexity 98.3129,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.6864, rec_loss 0.0952, p_loss 0.5860, quant_error 0.5847, utilization 0.0147, perplexity 104.9668,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.6702, rec_loss 0.0938, p_loss 0.5769, quant_error 0.5846, utilization 0.0157, perplexity 114.3872,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.6422, rec_loss 0.0912, p_loss 0.5668, quant_error 0.5794, utilization 0.0169, perplexity 127.1144,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.6135, rec_loss 0.0890, p_loss 0.5540, quant_error 0.5742, utilization 0.0185, perplexity 146.2239,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.5526, rec_loss 0.0845, p_loss 0.5368, quant_error 0.5530, utilization 0.0204, perplexity 171.1522,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.5206, rec_loss 0.0821, p_loss 0.5245, quant_error 0.5445, utilization 0.0223, perplexity 197.5084,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.4654, rec_loss 0.0781, p_loss 0.5072, quant_error 0.5254, utilization 0.0246, perplexity 232.8903,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.4249, rec_loss 0.0755, p_loss 0.4920, quant_error 0.5123, utilization 0.0273, perplexity 276.8220,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.3739, rec_loss 0.0724, p_loss 0.4739, quant_error 0.4938, utilization 0.0305, perplexity 332.5037,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.3409, rec_loss 0.0700, p_loss 0.4569, quant_error 0.4880, utilization 0.0342, perplexity 410.4801,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.2937, rec_loss 0.0668, p_loss 0.4388, quant_error 0.4738, utilization 0.0387, perplexity 512.5622,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.2410, rec_loss 0.0630, p_loss 0.4197, quant_error 0.4576, utilization 0.0435, perplexity 637.5018,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 1.2010, rec_loss 0.0599, p_loss 0.4031, quant_error 0.4481, utilization 0.0484, perplexity 774.7355,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 1.1654, rec_loss 0.0569, p_loss 0.3886, quant_error 0.4402, utilization 0.0535, perplexity 933.6068,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 1.1449, rec_loss 0.0560, p_loss 0.3773, quant_error 0.4336, utilization 0.0582, perplexity 1094.1139,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.1126, rec_loss 0.0540, p_loss 0.3643, quant_error 0.4234, utilization 0.0619, perplexity 1230.0786,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.0879, rec_loss 0.0524, p_loss 0.3561, quant_error 0.4138, utilization 0.0647, perplexity 1340.9913,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.0654, rec_loss 0.0512, p_loss 0.3471, quant_error 0.4060, utilization 0.0668, perplexity 1430.1828,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.0432, rec_loss 0.0498, p_loss 0.3406, quant_error 0.3969, utilization 0.0682, perplexity 1493.7682,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.0161, rec_loss 0.0477, p_loss 0.3317, quant_error 0.3895, utilization 0.0690, perplexity 1535.4459,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.0103, rec_loss 0.0475, p_loss 0.3272, quant_error 0.3891, utilization 0.0699, perplexity 1583.3083,
