dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 7.4559, rec_loss 0.5178, p_loss 0.7672, quant_error 1.1638, utilization 0.0378, perplexity 913.8125,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.5051, rec_loss 0.4270, p_loss 0.7485, quant_error 1.0528, utilization 0.0267, perplexity 538.8384,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 10.3276, rec_loss 0.3755, p_loss 0.7446, quant_error 0.9489, utilization 0.0222, perplexity 373.6345,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 18.5451, rec_loss 0.3373, p_loss 0.7410, quant_error 0.8884, utilization 0.0188, perplexity 282.5815,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 24.7230, rec_loss 0.3070, p_loss 0.7341, quant_error 0.8558, utilization 0.0164, perplexity 227.6591,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 31.0743, rec_loss 0.2385, p_loss 0.7205, quant_error 0.7502, utilization 0.0099, perplexity 46.8235,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 38.1281, rec_loss 0.2056, p_loss 0.7100, quant_error 0.6866, utilization 0.0077, perplexity 15.9775,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 46.6613, rec_loss 0.1853, p_loss 0.6977, quant_error 0.6665, utilization 0.0058, perplexity 9.1624,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 52.1235, rec_loss 0.1728, p_loss 0.6863, quant_error 0.6524, utilization 0.0047, perplexity 9.3274,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 57.2024, rec_loss 0.1649, p_loss 0.6790, quant_error 0.6315, utilization 0.0039, perplexity 10.3273,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 64.6158, rec_loss 0.1572, p_loss 0.6708, quant_error 0.6365, utilization 0.0033, perplexity 11.5209,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 71.1629, rec_loss 0.1493, p_loss 0.6669, quant_error 0.6360, utilization 0.0028, perplexity 13.2994,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 70.7983, rec_loss 0.1399, p_loss 0.6616, quant_error 0.6367, utilization 0.0025, perplexity 15.8676,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 66.3452, rec_loss 0.1297, p_loss 0.6558, quant_error 0.6236, utilization 0.0024, perplexity 18.8826,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 59.8780, rec_loss 0.1233, p_loss 0.6489, quant_error 0.6238, utilization 0.0024, perplexity 22.0400,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 52.6948, rec_loss 0.1184, p_loss 0.6440, quant_error 0.6131, utilization 0.0026, perplexity 25.0736,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 44.5911, rec_loss 0.1131, p_loss 0.6381, quant_error 0.6068, utilization 0.0027, perplexity 28.4625,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 38.8998, rec_loss 0.1098, p_loss 0.6326, quant_error 0.5960, utilization 0.0030, perplexity 32.4410,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 34.4442, rec_loss 0.1080, p_loss 0.6254, quant_error 0.5995, utilization 0.0032, perplexity 36.6634,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 30.4288, rec_loss 0.1053, p_loss 0.6198, quant_error 0.5937, utilization 0.0034, perplexity 41.3709,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 27.1375, rec_loss 0.1023, p_loss 0.6139, quant_error 0.5861, utilization 0.0036, perplexity 45.8614,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 24.0558, rec_loss 0.1003, p_loss 0.6090, quant_error 0.5856, utilization 0.0038, perplexity 50.5075,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 21.9614, rec_loss 0.0977, p_loss 0.6050, quant_error 0.5874, utilization 0.0039, perplexity 54.6485,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 20.1082, rec_loss 0.0971, p_loss 0.6038, quant_error 0.5878, utilization 0.0041, perplexity 58.4476,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 18.9044, rec_loss 0.0951, p_loss 0.6018, quant_error 0.5839, utilization 0.0043, perplexity 61.7234,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 17.2669, rec_loss 0.0932, p_loss 0.5998, quant_error 0.5782, utilization 0.0044, perplexity 65.0541,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 16.3558, rec_loss 0.0918, p_loss 0.5956, quant_error 0.5729, utilization 0.0046, perplexity 68.2384,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 15.5929, rec_loss 0.0909, p_loss 0.5912, quant_error 0.5630, utilization 0.0047, perplexity 71.5727,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 14.8341, rec_loss 0.0885, p_loss 0.5852, quant_error 0.5563, utilization 0.0048, perplexity 75.6681,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 13.8769, rec_loss 0.0883, p_loss 0.5811, quant_error 0.5579, utilization 0.0050, perplexity 80.2992,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 12.9124, rec_loss 0.0866, p_loss 0.5766, quant_error 0.5591, utilization 0.0051, perplexity 85.5557,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 11.9189, rec_loss 0.0862, p_loss 0.5742, quant_error 0.5605, utilization 0.0052, perplexity 91.1416,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 11.0397, rec_loss 0.0857, p_loss 0.5707, quant_error 0.5640, utilization 0.0054, perplexity 96.1667,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 10.4326, rec_loss 0.0854, p_loss 0.5675, quant_error 0.5590, utilization 0.0054, perplexity 100.4760,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 10.2423, rec_loss 0.0847, p_loss 0.5640, quant_error 0.5527, utilization 0.0055, perplexity 103.4915,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 10.1708, rec_loss 0.0862, p_loss 0.5615, quant_error 0.5542, utilization 0.0056, perplexity 106.3680,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 10.4659, rec_loss 0.0851, p_loss 0.5577, quant_error 0.5489, utilization 0.0057, perplexity 108.3444,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 10.6760, rec_loss 0.0860, p_loss 0.5557, quant_error 0.5482, utilization 0.0057, perplexity 112.3274,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 10.8023, rec_loss 0.0854, p_loss 0.5546, quant_error 0.5521, utilization 0.0058, perplexity 116.8761,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 10.7417, rec_loss 0.0845, p_loss 0.5500, quant_error 0.5450, utilization 0.0059, perplexity 122.6633,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 10.6020, rec_loss 0.0833, p_loss 0.5460, quant_error 0.5415, utilization 0.0059, perplexity 128.6923,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 10.2022, rec_loss 0.0821, p_loss 0.5417, quant_error 0.5350, utilization 0.0060, perplexity 135.0022,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 9.9751, rec_loss 0.0795, p_loss 0.5359, quant_error 0.5285, utilization 0.0060, perplexity 139.9206,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 9.8170, rec_loss 0.0792, p_loss 0.5293, quant_error 0.5259, utilization 0.0061, perplexity 145.3207,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 9.7765, rec_loss 0.0775, p_loss 0.5241, quant_error 0.5250, utilization 0.0061, perplexity 150.7185,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 9.8567, rec_loss 0.0768, p_loss 0.5160, quant_error 0.5180, utilization 0.0062, perplexity 156.0836,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 9.9793, rec_loss 0.0762, p_loss 0.5107, quant_error 0.5224, utilization 0.0062, perplexity 163.1501,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 10.3232, rec_loss 0.0753, p_loss 0.5040, quant_error 0.5205, utilization 0.0063, perplexity 170.3682,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 10.8529, rec_loss 0.0734, p_loss 0.4968, quant_error 0.5134, utilization 0.0063, perplexity 176.5800,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 11.3014, rec_loss 0.0733, p_loss 0.4902, quant_error 0.5124, utilization 0.0064, perplexity 182.8510,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 11.7359, rec_loss 0.0728, p_loss 0.4853, quant_error 0.5135, utilization 0.0064, perplexity 190.6370,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 12.1965, rec_loss 0.0724, p_loss 0.4769, quant_error 0.5036, utilization 0.0065, perplexity 197.3358,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 12.5040, rec_loss 0.0717, p_loss 0.4707, quant_error 0.4980, utilization 0.0065, perplexity 204.7349,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 12.8062, rec_loss 0.0717, p_loss 0.4661, quant_error 0.4941, utilization 0.0065, perplexity 211.2842,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 13.0797, rec_loss 0.0708, p_loss 0.4611, quant_error 0.4929, utilization 0.0066, perplexity 218.2985,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 13.3553, rec_loss 0.0693, p_loss 0.4555, quant_error 0.4877, utilization 0.0067, perplexity 224.3454,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 13.7039, rec_loss 0.0684, p_loss 0.4511, quant_error 0.4875, utilization 0.0067, perplexity 229.6269,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 14.0163, rec_loss 0.0674, p_loss 0.4464, quant_error 0.4878, utilization 0.0068, perplexity 233.6396,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 14.0894, rec_loss 0.0666, p_loss 0.4399, quant_error 0.4877, utilization 0.0068, perplexity 240.6866,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 14.2507, rec_loss 0.0656, p_loss 0.4337, quant_error 0.4829, utilization 0.0069, perplexity 247.4024,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 14.4643, rec_loss 0.0650, p_loss 0.4268, quant_error 0.4789, utilization 0.0069, perplexity 253.6386,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 14.6332, rec_loss 0.0645, p_loss 0.4209, quant_error 0.4777, utilization 0.0070, perplexity 260.2072,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 14.8198, rec_loss 0.0637, p_loss 0.4150, quant_error 0.4705, utilization 0.0070, perplexity 265.9953,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 15.1059, rec_loss 0.0630, p_loss 0.4096, quant_error 0.4667, utilization 0.0070, perplexity 270.5060,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 15.3355, rec_loss 0.0623, p_loss 0.4045, quant_error 0.4653, utilization 0.0071, perplexity 274.5748,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 15.6225, rec_loss 0.0610, p_loss 0.3999, quant_error 0.4622, utilization 0.0071, perplexity 277.8947,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 15.8549, rec_loss 0.0600, p_loss 0.3958, quant_error 0.4602, utilization 0.0072, perplexity 282.3852,
