dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 4
project_dim: 16
pq: 1
L: 4
chunks: 8
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_4_8_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_16384_4_8_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 8.0436, rec_loss 0.4443, p_loss 0.8216, quant_error 1.3491, utilization 0.0027, perplexity 14.9137,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.4715, rec_loss 0.3293, p_loss 0.7700, quant_error 1.0410, utilization 0.0020, perplexity 11.8975,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 6.5933, rec_loss 0.2609, p_loss 0.7298, quant_error 0.8748, utilization 0.0021, perplexity 11.8370,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 5.9060, rec_loss 0.2188, p_loss 0.6875, quant_error 0.7716, utilization 0.0026, perplexity 12.4360,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 5.3583, rec_loss 0.1879, p_loss 0.6341, quant_error 0.6972, utilization 0.0034, perplexity 13.3378,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 4.2793, rec_loss 0.1075, p_loss 0.5292, quant_error 0.4919, utilization 0.0047, perplexity 14.7730,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 3.3931, rec_loss 0.0715, p_loss 0.4359, quant_error 0.4032, utilization 0.0068, perplexity 19.0253,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.9266, rec_loss 0.0538, p_loss 0.3538, quant_error 0.3524, utilization 0.0091, perplexity 24.6035,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.6872, rec_loss 0.0420, p_loss 0.2892, quant_error 0.3177, utilization 0.0112, perplexity 31.8006,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.5671, rec_loss 0.0355, p_loss 0.2514, quant_error 0.2932, utilization 0.0129, perplexity 41.7127,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.5297, rec_loss 0.0335, p_loss 0.2375, quant_error 0.2831, utilization 0.0142, perplexity 55.3574,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.4655, rec_loss 0.0326, p_loss 0.2292, quant_error 0.2725, utilization 0.0152, perplexity 74.7297,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.3397, rec_loss 0.0314, p_loss 0.2220, quant_error 0.2558, utilization 0.0166, perplexity 100.5714,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 2.1138, rec_loss 0.0294, p_loss 0.2117, quant_error 0.2291, utilization 0.0194, perplexity 134.0958,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.8828, rec_loss 0.0281, p_loss 0.2026, quant_error 0.2041, utilization 0.0254, perplexity 174.1984,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.6407, rec_loss 0.0266, p_loss 0.1925, quant_error 0.1774, utilization 0.0345, perplexity 220.6206,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.4333, rec_loss 0.0254, p_loss 0.1852, quant_error 0.1557, utilization 0.0464, perplexity 273.3455,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.2545, rec_loss 0.0243, p_loss 0.1776, quant_error 0.1386, utilization 0.0595, perplexity 332.6910,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.1223, rec_loss 0.0237, p_loss 0.1729, quant_error 0.1298, utilization 0.0725, perplexity 400.3781,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 0.9984, rec_loss 0.0231, p_loss 0.1693, quant_error 0.1215, utilization 0.0837, perplexity 477.9020,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 0.8818, rec_loss 0.0223, p_loss 0.1650, quant_error 0.1130, utilization 0.0935, perplexity 570.2566,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 0.7891, rec_loss 0.0217, p_loss 0.1624, quant_error 0.1071, utilization 0.1019, perplexity 672.3442,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 0.7115, rec_loss 0.0212, p_loss 0.1615, quant_error 0.1017, utilization 0.1102, perplexity 786.4746,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 0.6539, rec_loss 0.0217, p_loss 0.1617, quant_error 0.0971, utilization 0.1189, perplexity 914.7198,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 0.5959, rec_loss 0.0211, p_loss 0.1590, quant_error 0.0911, utilization 0.1280, perplexity 1055.1192,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 0.5549, rec_loss 0.0209, p_loss 0.1586, quant_error 0.0860, utilization 0.1373, perplexity 1205.8109,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 0.5166, rec_loss 0.0207, p_loss 0.1563, quant_error 0.0809, utilization 0.1474, perplexity 1372.0140,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 0.4850, rec_loss 0.0204, p_loss 0.1544, quant_error 0.0761, utilization 0.1582, perplexity 1546.8511,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 0.4543, rec_loss 0.0195, p_loss 0.1509, quant_error 0.0719, utilization 0.1694, perplexity 1724.2995,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 0.4385, rec_loss 0.0196, p_loss 0.1502, quant_error 0.0691, utilization 0.1814, perplexity 1914.2398,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 0.4234, rec_loss 0.0192, p_loss 0.1503, quant_error 0.0667, utilization 0.1941, perplexity 2111.8757,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 0.4138, rec_loss 0.0194, p_loss 0.1512, quant_error 0.0646, utilization 0.2072, perplexity 2311.4594,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 0.4057, rec_loss 0.0196, p_loss 0.1517, quant_error 0.0630, utilization 0.2205, perplexity 2518.3470,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 0.3943, rec_loss 0.0194, p_loss 0.1514, quant_error 0.0608, utilization 0.2339, perplexity 2724.6688,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 0.3830, rec_loss 0.0191, p_loss 0.1513, quant_error 0.0584, utilization 0.2472, perplexity 2928.0821,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 0.3765, rec_loss 0.0193, p_loss 0.1498, quant_error 0.0570, utilization 0.2603, perplexity 3128.1420,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 0.3649, rec_loss 0.0188, p_loss 0.1480, quant_error 0.0548, utilization 0.2730, perplexity 3322.8159,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 0.3601, rec_loss 0.0190, p_loss 0.1474, quant_error 0.0533, utilization 0.2856, perplexity 3515.2206,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 0.3562, rec_loss 0.0192, p_loss 0.1478, quant_error 0.0518, utilization 0.2978, perplexity 3702.7943,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 0.3481, rec_loss 0.0190, p_loss 0.1459, quant_error 0.0502, utilization 0.3094, perplexity 3879.7217,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 0.3423, rec_loss 0.0187, p_loss 0.1454, quant_error 0.0490, utilization 0.3207, perplexity 4054.8624,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 0.3362, rec_loss 0.0185, p_loss 0.1449, quant_error 0.0477, utilization 0.3314, perplexity 4219.3947,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.3287, rec_loss 0.0179, p_loss 0.1442, quant_error 0.0465, utilization 0.3414, perplexity 4373.2167,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.3267, rec_loss 0.0180, p_loss 0.1446, quant_error 0.0459, utilization 0.3515, perplexity 4528.5067,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.3244, rec_loss 0.0179, p_loss 0.1454, quant_error 0.0453, utilization 0.3610, perplexity 4678.9608,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.3207, rec_loss 0.0179, p_loss 0.1448, quant_error 0.0443, utilization 0.3701, perplexity 4818.1460,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 0.3199, rec_loss 0.0179, p_loss 0.1457, quant_error 0.0441, utilization 0.3789, perplexity 4956.0527,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 0.3170, rec_loss 0.0177, p_loss 0.1457, quant_error 0.0436, utilization 0.3876, perplexity 5096.3063,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 0.3111, rec_loss 0.0173, p_loss 0.1442, quant_error 0.0428, utilization 0.3951, perplexity 5210.4217,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 0.3101, rec_loss 0.0174, p_loss 0.1436, quant_error 0.0426, utilization 0.4027, perplexity 5329.8940,
