dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 128
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_128_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_128_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 8.8283, rec_loss 0.5052, p_loss 0.7950, quant_error 1.3455, utilization 0.6465, perplexity 21.4018,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 10.0880, rec_loss 0.4035, p_loss 0.7655, quant_error 1.0989, utilization 0.5826, perplexity 15.9616,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 17.0196, rec_loss 0.3362, p_loss 0.7561, quant_error 0.9960, utilization 0.5376, perplexity 12.3907,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 23.6688, rec_loss 0.3000, p_loss 0.7457, quant_error 0.9197, utilization 0.4930, perplexity 10.4562,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 25.8495, rec_loss 0.2758, p_loss 0.7354, quant_error 0.8761, utilization 0.4578, perplexity 9.3624,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 30.4847, rec_loss 0.2096, p_loss 0.7139, quant_error 0.7347, utilization 0.3827, perplexity 5.9899,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 38.7511, rec_loss 0.1823, p_loss 0.7026, quant_error 0.6923, utilization 0.3254, perplexity 4.6931,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 45.6876, rec_loss 0.1756, p_loss 0.6895, quant_error 0.6623, utilization 0.2770, perplexity 4.4169,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 50.6637, rec_loss 0.1682, p_loss 0.6812, quant_error 0.6530, utilization 0.2427, perplexity 4.3222,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 56.4241, rec_loss 0.1610, p_loss 0.6777, quant_error 0.6387, utilization 0.2150, perplexity 4.2434,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 62.3773, rec_loss 0.1547, p_loss 0.6753, quant_error 0.6443, utilization 0.1952, perplexity 4.3643,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 63.6151, rec_loss 0.1486, p_loss 0.6717, quant_error 0.6405, utilization 0.1829, perplexity 4.6872,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 60.5993, rec_loss 0.1406, p_loss 0.6699, quant_error 0.6396, utilization 0.1755, perplexity 5.1692,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 56.9309, rec_loss 0.1317, p_loss 0.6642, quant_error 0.6272, utilization 0.1704, perplexity 5.7143,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 51.8575, rec_loss 0.1263, p_loss 0.6570, quant_error 0.6257, utilization 0.1681, perplexity 6.3574,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 46.0263, rec_loss 0.1198, p_loss 0.6467, quant_error 0.6128, utilization 0.1666, perplexity 6.9433,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 40.1334, rec_loss 0.1137, p_loss 0.6373, quant_error 0.6056, utilization 0.1650, perplexity 7.4622,
